pitch;roll;lado;movimento;sessao
-0.22365099;0.2734189;D;Dorsiflexao;1477026882
-0.23327701;-0.20885599;E;Dorsiflexao;1477026882
-0.20928699;0.28416693;D;Dorsiflexao;1477026882
-0.265588;-0.20295703;E;Dorsiflexao;1477026882
-0.22461799;0.2627809;D;Dorsiflexao;1477026882
-0.16464801;-0.21634805;E;Dorsiflexao;1477026882
-0.20459199;0.25907695;D;Dorsiflexao;1477026882
-0.200336;-0.204283;E;Dorsiflexao;1477026882
-0.18382698;0.27290094;D;Dorsiflexao;1477026882
-0.21787499;-0.20480096;E;Dorsiflexao;1477026882
-0.20088798;0.2721169;D;Dorsiflexao;1477026882
-0.19144599;-0.20954704;E;Dorsiflexao;1477026882
-0.198769;0.269974;D;Dorsiflexao;1477026882
-0.196826;-0.21017599;E;Dorsiflexao;1477026882
-0.19493699;0.26967394;D;Dorsiflexao;1477026882
0.232876;-0.05161798;E;Flexao;1477026882
0.24541;0.099337935;D;Flexao;1477026882
0.244214;-0.06610298;E;Flexao;1477026882
0.26376;0.10421193;D;Flexao;1477026882
0.23468399;-0.06599605;E;Flexao;1477026882
0.262054;0.11843991;D;Flexao;1477026882
0.23359299;-0.055561066;E;Flexao;1477026882
0.25667801;0.094321966;D;Flexao;1477026882
0.237388;-0.065831065;E;Flexao;1477026882
0.258464;0.08819294;D;Flexao;1477026882
0.247819;-0.05604899;E;Flexao;1477026882
0.255719;0.10870695;D;Flexao;1477026882
0.22468999;-0.05814004;E;Flexao;1477026882
0.248963;0.11340499;D;Flexao;1477026882
0.23491;-0.059497952;E;Flexao;1477026882
0.257914;0.08735299;D;Flexao;1477026882
0.233681;-0.05420196;E;Flexao;1477026882
0.250837;0.104347944;D;Flexao;1477026882
0.23207599;-0.059556007;E;Flexao;1477026882
0.252422;0.10849893;D;Flexao;1477026882
-0.049261004;0.33624202;E;Eversao;1477026882
-0.053097002;-0.26551408;D;Eversao;1477026882
-0.054504007;0.345977;E;Eversao;1477026882
-0.055193;-0.30716407;D;Eversao;1477026882
-0.052432;0.33446497;E;Eversao;1477026882
-0.054685004;-0.29631406;D;Eversao;1477026882
-0.053993;0.356543;E;Eversao;1477026882
-0.053637005;-0.29035407;D;Eversao;1477026882
-0.046660006;0.353634;E;Eversao;1477026882
-0.0559;-0.32096308;D;Eversao;1477026882
-0.054202005;0.346025;E;Eversao;1477026882
-0.057179995;-0.31061405;D;Eversao;1477026882
-0.050315008;0.33696902;E;Eversao;1477026882
-0.052132003;-0.28661203;D;Eversao;1477026882
-0.048336998;0.34948897;E;Eversao;1477026882
-0.056588;-0.28571004;D;Eversao;1477026882
-0.0501;1.170025;E;Eversao;1477026882
-0.054167993;-0.29543507;D;Eversao;1477026882
-0.050416008;0.33493698;E;Eversao;1477026882
-0.050251998;-0.28012305;D;Eversao;1477026882
0.064831994;-0.8907751;E;Inversao;1477026882
0.020478003;0.90468705;D;Inversao;1477026882
